"","ID","Sub","level","cover","spec","treetyp","dep_ID"
"94","P06","DW01",NA,0.1,"polytrichum formosum",NA,"BU"
"95","P06","SL01",NA,0.5,"atrichum undulatum",NA,"BU"
"96","P06","SL01",NA,2.5,"brachythecium rutabulum",NA,"BU"
"97","P06","SL01",NA,0.1,"dicranum scoparium",NA,"BU"
"98","P06","SL01",NA,0.5,"eurhynchium praelongum",NA,"BU"
"99","P06","SL01",NA,0.5,"hypnum cupressiforme",NA,"BU"
"100","P06","SL01",NA,0.1,"mnium hornum",NA,"BU"
"101","P06","SL01",NA,0.5,"plagiomnium undulatum",NA,"BU"
"102","P06","SL01",NA,0.5,"polytrichum formosum",NA,"BU"
"103","P17","EP01",1,0.1,"brachythecium rutabulum","BP_","DG"
"104","P17","EP01",2,15,"hypnum cupressiforme","BP_","DG"
"105","P17","EP01",1,62.5,"hypnum cupressiforme","BP_","DG"
"106","P17","EP01",3,0.5,"hypnum cupressiforme","BP_","DG"
"107","P17","EP01",2,2.5,"orthotrichum affine","BP_","DG"
"108","P17","EP01",3,0.5,"orthotrichum affine","BP_","DG"
"109","P17","EP01",1,0.1,"orthotrichum affine","BP_","DG"
"110","P17","EP01",2,0.1,"x","BP_","DG"
"111","P17","EP01",3,0.1,"x","BP_","DG"
"112","P17","EP02",1,0.1,"dicranum scoparium","PM_","DG"
"113","P17","EP02",1,2.5,"hypnum cupressiforme","PM_","DG"
"114","P17","EP02",1,0.1,"ortho dicranum montanum","PM_","DG"
"115","P17","EP04",1,15,"hypnum cupressiforme","QP_","DG"
"116","P17","EP04",2,0.5,"hypnum cupressiforme","QP_","DG"
"117","P17","EP03",1,2.5,"hypnum cupressiforme","PM_","DG"
"118","P17","EP03",1,0.1,"ortho dicranum montanum","PM_","DG"
"119","P17","DW01",NA,0.5,"eurhynchium praelongum",NA,"DG"
"120","P17","DW01",NA,2.5,"eurhynchium striatum",NA,"DG"
"121","P17","DW01",NA,0.1,"herzogiella seligeri",NA,"DG"
"122","P17","DW01",NA,62.5,"hypnum cupressiforme",NA,"DG"
"123","P17","SL01",NA,0.1,"atrichum undulatum",NA,"DG"
"124","P17","SL01",NA,0.1,"brachythecium rutabulum",NA,"DG"
"125","P17","SL01",NA,0.1,"plagiomnium affine",NA,"DG"
"126","P17","SL01",NA,0.1,"plagiomnium affine cf.",NA,"DG"
"127","P18","EP01",1,0.1,"hypnum cupressiforme","PM_","DG"
"128","P18","EP01",1,0.1,"plagiothecium laetum","PM_","DG"
"129","P18","DW01",NA,0.1,"eurhynchium striatum",NA,"DG"
"130","P18","DW01",NA,0.1,"herzogiella seligeri",NA,"DG"
"131","P18","DW01",NA,87.5,"hypnum cupressiforme",NA,"DG"
"132","P18","DW01",NA,0.1,"plagiothecium laetum",NA,"DG"
"133","P19","EP01",1,2.5,"hypnum cupressiforme","PM_","DG"
"134","P19","DW01",NA,0.1,"brachythecium rutabulum",NA,"DG"
"135","P19","DW01",NA,87.5,"hypnum cupressiforme",NA,"DG"
"136","P19","DW01",NA,0.1,"plagiomnium affine",NA,"DG"
"137","P19","DW01",NA,0.1,"rhytidiadelphus squarrosus",NA,"DG"
"138","P19","SL01",NA,0.1,"atrichum undulatum",NA,"DG"
"139","P19","SL01",NA,0.1,"dicranum scoparium",NA,"DG"
"140","P19","SL01",NA,2.5,"eurhynchium striatum",NA,"DG"
"141","P19","SL01",NA,0.1,"herzogiella seligeri",NA,"DG"
"142","P19","SL01",NA,2.5,"polytrichum formosum",NA,"DG"
"143","P19","SL01",NA,15,"rhizomnium punctatum",NA,"DG"
"144","P19","SL01",NA,15,"rhytidiadelphus squarrosus",NA,"DG"
"145","P19","SL01",NA,2.5,"scleropodium purum",NA,"DG"
"146","P20","EP01",1,2.5,"hypnum cupressiforme","PM_","DG"
"147","P20","DW01",NA,0.5,"dicranum scoparium",NA,"DG"
"148","P20","DW01",NA,0.1,"ditrichum heteromalla cf",NA,"DG"
"149","P20","DW01",NA,0.5,"eurhynchium striatum",NA,"DG"
"150","P20","DW01",NA,0.5,"eurhynchium striatum",NA,"DG"
"151","P20","DW01",NA,87.5,"hypnum cupressiforme",NA,"DG"
"152","P20","DW01",NA,0.5,"ortho dicranum montanum",NA,"DG"
"153","P20","SL01",NA,0.1,"eurhynchium praelongum",NA,"DG"
"154","P20","SL01",NA,15,"eurhynchium striatum",NA,"DG"
"155","P20","SL01",NA,0.1,"herzogiella seligeri",NA,"DG"
"156","P20","SL01",NA,0.5,"plagiomnium affine",NA,"DG"
"157","P20","SL01",NA,0.1,"rhytidiadelphus squarrosus",NA,"DG"
"158","P20","SL01",NA,15,"scleropodium purum",NA,"DG"
"159","P21","EP01",1,0.5,"ceratodon purpureus","LD_","LA"
"160","P21","EP01",1,2.5,"hypnum cupressiforme","LD_","LA"
"161","P21","DW01",NA,0.5,"ceratodon purpureus",NA,"LA"
"162","P21","DW01",NA,0.1,"dicranum scoparium",NA,"LA"
"163","P21","DW01",NA,62.5,"hypnum cupressiforme",NA,"LA"
"164","P21","DW01",NA,0.1,"orthotrichum affine",NA,"LA"
"165","P21","DW01",NA,0.1,"polytrichum formosum",NA,"LA"
"166","P21","DW01",NA,0.1,"scleropodium purum",NA,"LA"
"167","P21","SL01",NA,0.5,"dicranum scoparium",NA,"LA"
"168","P21","SL01",NA,15,"rhytidiadelphus squarrosus",NA,"LA"
"169","P21","SL01",NA,15,"scleropodium purum",NA,"LA"
"170","P22","EP02",2,2.5,"hypnum cupressiforme","FS_","EI"
"171","P22","EP02",1,15,"hypnum cupressiforme","FS_","EI"
"172","P22","EP02",1,0.1,"ortho dicranum montanum","FS_","EI"
"173","P22","EP02",2,0.5,"orthotrichum affine","FS_","EI"
"174","P22","EP02",1,0.1,"orthotrichum affine","FS_","EI"
"175","P22","EP01",1,0.1,"brachythecium rutabulum","QP_","EI"
"176","P22","EP01",1,0.1,"dicranum scoparium","QP_","EI"
"177","P22","EP01",1,37.5,"hypnum cupressiforme","QP_","EI"
"178","P22","EP01",1,0.1,"mnium hornum","QP_","EI"
"179","P22","EP01",1,0.5,"ortho dicranum montanum","QP_","EI"
"180","P22","DW01",NA,15,"brachythecium rutabulum",NA,"EI"
"181","P22","DW01",NA,62.5,"hypnum cupressiforme",NA,"EI"
"182","P22","SL01",NA,0.5,"atrichum undulatum",NA,"EI"
"183","P22","SL01",NA,0.5,"brachythecium rutabulum",NA,"EI"
"184","P22","SL01",NA,0.1,"hypnum cupressiforme",NA,"EI"
"185","P22","SL01",NA,0.5,"polytrichum formosum",NA,"EI"
"186","P23","EP01",2,0.1,"frullania dilatata","FS_","EI"
"187","P23","EP01",1,15,"hypnum cupressiforme","FS_","EI"
